mean [tax_paid] of consumers,mean [tax_collected] of consumers,mean [asked_someone_to_broker] of consumers,mean [brokered_for_someone] of consumers,mean [brokered_for_new_user] of consumers,mean [pinched] of consumers,mean [selling_price] of dealers,count dealers,count consumers
0.0,1088.7448979591836,143.27551020408163,55.8469387755102,56.51020408163265,8.780200789993419,124.0,14,98
0.0,1089.1650485436894,137.81553398058253,56.009708737864074,56.009708737864074,8.972842605239524,121.3846153846154,13,103
1250.9313725490194,1251.0980392156862,148.42156862745097,64.23529411764707,64.22549019607844,10.109883145177264,123.75,8,102
0.0,1160.408163265306,141.6734693877551,59.479591836734684,59.224489795918366,9.22456190956948,125.77777777777777,18,98
0.0,1221.6020408163265,136.30612244897958,62.6530612244898,62.622448979591844,9.763049533208397,124.94736842105264,19,98
1595.59,1597.3,145.77,82.03,81.92,12.095030761949834,132.0625,16,100
0.0,1124.1818181818182,140.06060606060606,57.64646464646464,57.78787878787879,8.714587737843553,129.0,18,99
1412.8775510204084,1415.908163265306,151.41836734693874,72.5204081632653,72.34693877551021,10.507667259853852,134.75,12,98
0.0,1162.9375,140.71875,59.9375,60.61458333333334,9.809679460143398,118.55,20,96
0.0,1287.2857142857142,133.94897959183675,66.10204081632654,65.48979591836735,10.807404481149659,119.04347826086956,23,98
0.0,1155.030303030303,138.75757575757575,59.80808080808082,59.90909090909091,9.111607958939748,126.76470588235294,17,99
1609.5757575757575,1618.2929292929293,146.0909090909091,82.6969696969697,82.34343434343434,12.60072358737542,128.42857142857142,14,99
0.0,1233.3917525773195,134.28865979381442,62.886597938144334,62.886597938144334,10.044588415967317,122.79166666666669,24,97
0.0,1346.7551020408166,125.8061224489796,68.40816326530613,68.4795918367347,11.054933881573431,121.76666666666668,30,98
0.0,1275.5841584158416,128.24752475247524,65.35643564356435,65.35643564356435,10.56646917176807,120.72,25,101
1191.990291262136,1191.990291262136,148.58252427184462,61.097087378640786,61.097087378640786,8.650147251539444,137.8,10,103
0.0,1210.4040404040404,136.07070707070707,62.373737373737384,62.07070707070707,9.659872174842237,125.25,20,99
1631.0204081632653,1634.091836734694,148.07142857142858,84.12244897959185,83.98979591836735,11.488652284735231,142.2352941176471,17,98
0.0,1300.0927835051546,131.56701030927834,66.36082474226804,65.12371134020619,10.475441755545443,124.04761904761904,21,97
0.0,1238.0515463917525,138.4742268041237,63.30927835051546,63.422680412371136,9.92331392146061,124.76190476190477,21,97
1569.2277227722773,1572.7128712871286,143.64356435643563,80.55445544554455,80.40594059405942,11.070570145443936,142.0625,16,101
0.0,1248.41,126.14,64.25,64.77,10.177255434782607,122.66666666666669,27,100
0.0,1189.6565656565656,137.77777777777777,60.66666666666666,60.51515151515152,9.58392329600736,124.1304347826087,23,99
0.0,1203.8775510204084,137.5,61.714285714285715,62.09183673469388,9.692234520927016,124.2105263157895,19,98
1596.2474226804127,1593.278350515464,146.03092783505156,81.74226804123711,81.85567010309279,10.809215403768413,147.4,15,97
0.0,1215.35,135.81,61.95,61.95,9.664811133200796,125.75,24,100
0.0,1278.4948453608247,137.81443298969072,65.70103092783505,65.42268041237114,10.610803349864394,120.47826086956522,23,97
1596.7979797979801,1595.5555555555554,145.3838383838384,81.0,81.12121212121212,11.06104371269016,144.25,16,99
0.0,1219.060606060606,135.56565656565655,62.48484848484848,62.27272727272727,9.49268504719324,128.42105263157896,19,99
0.0,1216.8383838383838,135.07070707070707,62.464646464646464,62.06060606060606,10.177306312814467,119.55,20,99
1214.969387755102,1236.969387755102,152.85714285714286,63.42857142857143,62.36734693877551,10.139093342254936,122.0,9,98
0.0,1286.121212121212,131.31313131313132,66.12121212121212,65.8989898989899,10.621467820031556,121.08695652173913,23,99
0.0,1314.51,126.89,68.01,68.01,10.477352472089311,125.4,30,100
1699.6565656565656,1652.3030303030305,142.47474747474752,84.18181818181819,86.66666666666669,11.765397634556516,140.4375,16,99
0.0,1312.53,126.08,67.53,66.93,10.98521698698078,119.48148148148148,27,100
0.0,1238.88,128.18,63.66,63.71,10.218800380831482,121.19230769230771,26,100
0.0,1231.5728155339805,130.2135922330097,63.10679611650485,63.10679611650485,10.290020320614133,119.65217391304348,23,103
1616.148514851485,1616.6831683168314,143.1089108910891,82.54455445544555,82.53465346534655,11.007204550242264,146.875,16,101
0.0,1267.0686274509806,127.28431372549021,64.87254901960785,65.18627450980392,10.536953242835596,120.25,28,102
0.0,1251.66,130.6,64.36,64.26,10.00890369876708,125.04166666666669,24,100
1459.75,1459.7884615384617,141.48076923076925,74.28846153846153,74.29807692307692,10.93159562211982,133.53846153846158,13,104
