"BehaviorSpace results (NetLogo 5.3.1)"
"drug_model.nlogo"
"experiment 1.0"
"04/18/2017 15:42:49:975 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tolerance_limit","no_of_dealers","no_of_consumers","consumer_network","franchise_limit","leave_consumer","surplus","suspicion","allow_direct_connection","new_consumer","[step]","mean [tax_paid] of consumers","mean [tax_collected] of consumers","mean [asked_someone_to_broker] of consumers","mean [brokered_for_someone] of consumers","mean [brokered_for_new_user] of consumers","mean [pinched] of consumers","mean [selling_price] of dealers","count dealers","count consumers"
"52","3","25","100","1","10","10","24","10","1","50","17279","1396.6666666666667","1396.6666666666667","147.07843137254903","71.33333333333333","71.33333333333333","10.26960784313726","136","10","102"
"50","3","25","100","1","10","10","24","10","1","10","17280","0","1206.63","136.01","61.65","61.65","9.996916703009155","120.6842105263158","19","100"
"51","3","25","100","1","10","10","24","10","1","50","17280","0","1258.17","133.03","64.47","64.47","10.519051254089424","119.6086956521739","23","100"
"53","3","25","100","1","10","10","24","10","1","50","17280","0","1214.4803921568628","133.41176470588235","61.84313725490196","61.86274509803921","10.349406824604609","117.34782608695652","23","102"
"54","3","25","100","1","10","10","24","10","1","50","17279","1456.8217821782177","1456.8217821782177","145.82178217821783","74.88118811881188","74.88118811881188","10.6448355691519","136.85714285714286","14","101"
"55","3","25","100","1","10","10","24","10","1","50","17280","0","1171.7087378640776","131.64077669902912","59.99029126213592","59.99029126213592","9.647588022955203","121.3","20","103"
"56","3","25","100","1","10","10","24","10","1","50","17280","0","1347.049504950495","123.66336633663366","69.11881188118812","69.11881188118812","10.852362577647495","124.125","32","101"
"58","3","25","100","1","10","10","24","10","1","50","17279","1471.2970297029703","1470.930693069307","146.56435643564356","74.89108910891089","74.91089108910892","11.336652740418549","129.75","12","101"
"57","3","25","100","1","10","10","24","10","1","50","17280","0","1204.4019607843138","134.02941176470588","61.27450980392157","61.27450980392157","10.025785413694976","120.1304347826087","23","102"
"59","3","25","100","1","10","10","24","10","1","50","17280","0","1194.38","138.95","61.33","61.33","9.870909090909093","121","21","100"
"61","3","25","100","1","10","10","24","10","5","10","17279","1519.3030303030303","1521.3737373737374","146.9090909090909","77.84848484848484","77.72727272727273","11.00166958844645","138.28571428571428","14","99"
"60","3","25","100","1","10","10","24","10","1","50","17280","0","1189.6831683168316","133.98019801980197","61.366336633663366","61.366336633663366","10.02682822011657","118.65","20","101"
"62","3","25","100","1","10","10","24","10","5","10","17280","0","1148.76","138.03","58.56","58.56","9.147845744680847","125.38095238095238","21","100"
"63","3","25","100","1","10","10","24","10","5","10","17280","0","1235.84","137.55","63.44","63.44","9.619401884473575","128.47368421052633","19","100"
"64","3","25","100","1","10","10","24","10","5","10","17279","1546.29","1546.29","146.83","79.49","79.49","11.869637124912767","130.27272727272728","11","100"
"65","3","25","100","1","10","10","24","10","5","10","17280","0","1247.24","134.84","64.28","64.34","9.908344370860926","125.83333333333333","24","100"
"66","3","25","100","1","10","10","24","10","5","10","17280","0","1272.87","131.66","65.47","65.47","10.14688219663419","125.44444444444444","27","100"
"68","3","25","100","1","10","10","24","10","5","10","17279","1710.0582524271845","1710.0582524271845","139.2233009708738","86.75728155339806","86.75728155339806","13.217841564654558","129.375","16","103"
"67","3","25","100","1","10","10","24","10","5","10","17280","0","1260.8673469387754","136.46938775510205","64.89795918367346","64.92857142857143","10.207484304438816","123.52380952380952","21","98"
"69","3","25","100","1","10","10","24","10","5","10","17280","0","1166.3725490196077","137.61764705882354","59.72549019607843","59.72549019607843","9.639442553881056","121","14","102"
"71","3","25","100","1","10","10","24","10","5","50","17279","1627.7623762376238","1635.7623762376238","141.990099009901","84.08910891089108","83.65346534653466","12.161802053811334","134.5","16","101"
"70","3","25","100","1","10","10","24","10","5","10","17280","0","1266.93","127.76","65.05","65.05","10.18696177062374","124.25","28","100"
"72","3","25","100","1","10","10","24","10","5","50","17280","0","1245.3663366336634","130.27722772277227","63.87128712871287","64.9009900990099","10.274593358270174","121.20833333333333","24","101"
"74","3","25","100","1","10","10","24","10","5","50","17279","1721.881188118812","1721.881188118812","141.84158415841586","88.23762376237623","88.23762376237623","12.152668288443312","141.6875","16","101"
"73","3","25","100","1","10","10","24","10","5","50","17280","0","1264.4554455445545","132.94059405940595","64.58415841584159","64.58415841584159","10.653330097975651","118.52380952380952","21","101"
"75","3","25","100","1","10","10","24","10","5","50","17280","0","1094.2745098039215","136.63725490196077","56.6078431372549","56.86274509803921","8.616990028600135","126.83333333333333","18","102"
"76","3","25","100","1","10","10","24","10","5","50","17280","0","1239.32","134.85","63.13","63.13","10.116897959183675","122.5","22","100"
"77","3","25","100","1","10","10","24","10","5","50","17279","1697.970297029703","1697.970297029703","142.35643564356437","86.95049504950495","86.95049504950495","13.090927460092946","129.7058823529412","17","101"
"78","3","25","100","1","10","10","24","10","5","50","17280","0","1259.3673469387754","134.64285714285714","64.62244897959184","64.06122448979592","10.120701949542921","124.43478260869566","23","98"
"79","3","25","100","1","10","10","24","10","5","50","17280","0","1250.1584158415842","133.0990099009901","64.03960396039604","63.92079207920792","10.3993673969423","120.17391304347827","23","101"
"81","3","25","100","1","10","50","24","5","1","10","17279","1242.96","1247.47","151.3","63.63","63.44","10.541999999999998","118.33333333333333","9","100"
"80","3","25","100","1","10","10","24","10","5","50","17280","0","1211.31","136.51","62.46","62.46","9.56045777426993","126.7","20","100"
"82","3","25","100","1","10","50","24","5","1","10","17280","0","1023.4949494949495","148.11111111111111","52.464646464646464","52.95959595959596","7.9711444664715705","128.4","10","99"
"83","3","25","100","1","10","50","24","5","1","10","17280","0","982.45","149.96","50.6","50.57","7.7155759162303665","127.33333333333333","9","100"
"84","3","25","100","1","10","50","24","5","1","10","17279","1450.20202020202","1461.4747474747476","148.82828282828282","74.32323232323232","73.77777777777777","11.002319303448541","132.83333333333334","12","99"
"85","3","25","100","1","10","50","24","5","1","10","17280","0","919.265306122449","151.4795918367347","47.57142857142857","48.63265306122449","7.824994202226347","117.33333333333333","9","98"
"88","3","25","100","1","10","50","24","5","1","10","17279","1242.5204081632653","1241.0102040816328","155.44897959183675","63.785714285714285","63.89795918367347","8.765965114602855","141.57142857142858","7","98"
"86","3","25","100","1","10","50","24","5","1","10","17280","0","1035.060606060606","149.02020202020202","52.98989898989899","52.898989898989896","8.456377500495146","122.4","10","99"
"87","3","25","100","1","10","50","24","5","1","10","17280","0","1000.7244897959183","149.70408163265307","51.265306122448976","50.56122448979592","9.005394733821538","111.125","8","98"
"89","3","25","100","1","10","50","24","5","1","10","17280","0","1065.65","143.03","54.65","54.59","8.92909090909091","119.16666666666667","12","100"
"90","3","25","100","1","10","50","24","5","1","10","17279","1420.1752577319587","1422.4639175257732","153.43298969072166","72.84536082474227","72.72164948453609","10.687911948622615","133.0909090909091","11","97"
"91","3","25","100","1","10","50","24","5","1","50","17280","0","993.54","148.77","50.84","50.81","7.712731122088926","128.8181818181818","11","100"
"92","3","25","100","1","10","50","24","5","1","50","17280","0","1072.3645833333333","148.33333333333334","54.375","52.760416666666664","9.087835451977401","118","9","96"
"94","3","25","100","1","10","50","24","5","1","50","17279","1079.561224489796","1067.5714285714287","157.1530612244898","54.734693877551024","55.40816326530612","8.428195488721805","126.66666666666667","6","98"
"93","3","25","100","1","10","50","24","5","1","50","17280","0","1010.8367346938776","147.3673469387755","51.97959183673469","51.6530612244898","8.268073046802945","122","10","98"
"97","3","25","100","1","10","50","24","5","1","50","17279","1284.5294117647059","1297.8823529411766","147.11764705882354","67.00980392156863","66.34313725490196","10.183906867018823","127.44444444444444","9","102"
"95","3","25","100","1","10","50","24","5","1","50","17280","0","975.5533980582525","143.2135922330097","50.22330097087379","50","7.795696415235251","124.8","10","103"
"96","3","25","100","1","10","50","24","5","1","50","17280","0","1030.4554455445545","143.9108910891089","53.386138613861384","52.34653465346535","8.857783199523391","116.33333333333333","12","101"
"98","3","25","100","1","10","50","24","5","1","50","17280","0","914.3","148.52","47.13","47.51","7.049691516709513","129.66666666666666","9","100"
"99","3","25","100","1","10","50","24","5","1","50","17279","1262.3131313131314","1272.5555555555557","151.6060606060606","65.6969696969697","65.18181818181819","9.395406070549631","135.44444444444446","9","99"
